GEOID,concept,total_pop,label,county,estimate,pct
3719000,Hispanic Or Latino,20037,GED or alternative credential,"Durham city, North Carolina",142,0.007086889254878475
3719000,Hispanic Or Latino,20037,Graduate or professional degree,"Durham city, North Carolina",1112,0.05549732993961172
3719000,Hispanic Or Latino,20037,Less than 9th grade,"Durham city, North Carolina",7764,0.38748315616110196
3719000,Hispanic Or Latino,20037,Regular high school diploma,"Durham city, North Carolina",5050,0.2520337375854669
3719000,Hispanic Or Latino,20037,"Some college, no degree","Durham city, North Carolina",2081,0.10385786295353595
3719000,Hispanic Or Latino,20037,Total Population,"Durham city, North Carolina",20037,1
3728000,Hispanic Or Latino,12758,"9th to 12th grade, no diploma","Greensboro city, North Carolina",1526,0.11961122432983226
3728000,Hispanic Or Latino,12758,Associate's degree,"Greensboro city, North Carolina",964,0.07556043266969745
3728000,Hispanic Or Latino,12758,Bachelor's degree,"Greensboro city, North Carolina",1501,0.11765166954068036
3728000,Hispanic Or Latino,12758,GED or alternative credential,"Greensboro city, North Carolina",197,0.015441291738517009
3728000,Hispanic Or Latino,12758,Graduate or professional degree,"Greensboro city, North Carolina",573,0.04491299576736166
3728000,Hispanic Or Latino,12758,Less than 9th grade,"Greensboro city, North Carolina",3949,0.30953127449443485
3728000,Hispanic Or Latino,12758,Regular high school diploma,"Greensboro city, North Carolina",2270,0.17792757485499294
3728000,Hispanic Or Latino,12758,"Some college, no degree","Greensboro city, North Carolina",1778,0.13936353660448347
3728000,Hispanic Or Latino,12758,Total Population,"Greensboro city, North Carolina",12758,1
3731400,Hispanic Or Latino,5770,"9th to 12th grade, no diploma","High Point city, North Carolina",826,0.14315424610051994
3731400,Hispanic Or Latino,5770,Associate's degree,"High Point city, North Carolina",270,0.04679376083188908
3731400,Hispanic Or Latino,5770,Bachelor's degree,"High Point city, North Carolina",1029,0.1783362218370884
3731400,Hispanic Or Latino,5770,GED or alternative credential,"High Point city, North Carolina",453,0.07850953206239168
3731400,Hispanic Or Latino,5770,Graduate or professional degree,"High Point city, North Carolina",226,0.03916811091854419
3731400,Hispanic Or Latino,5770,Less than 9th grade,"High Point city, North Carolina",1025,0.17764298093587522
3731400,Hispanic Or Latino,5770,Regular high school diploma,"High Point city, North Carolina",1074,0.18613518197573656
3731400,Hispanic Or Latino,5770,"Some college, no degree","High Point city, North Carolina",867,0.15025996533795494
3731400,Hispanic Or Latino,5770,Total Population,"High Point city, North Carolina",5770,1
3755000,Hispanic Or Latino,26246,"9th to 12th grade, no diploma","Raleigh city, North Carolina",3224,0.12283776575478168
3755000,Hispanic Or Latino,26246,Associate's degree,"Raleigh city, North Carolina",1354,0.05158881353349082
3755000,Hispanic Or Latino,26246,Bachelor's degree,"Raleigh city, North Carolina",4900,0.1866951154461632
3755000,Hispanic Or Latino,26246,GED or alternative credential,"Raleigh city, North Carolina",1667,0.0635144402956641
3755000,Hispanic Or Latino,26246,Graduate or professional degree,"Raleigh city, North Carolina",2670,0.10172978739617465
3755000,Hispanic Or Latino,26246,Less than 9th grade,"Raleigh city, North Carolina",5817,0.22163377276537377
3755000,Hispanic Or Latino,26246,Regular high school diploma,"Raleigh city, North Carolina",3457,0.1317153089994666
3755000,Hispanic Or Latino,26246,"Some college, no degree","Raleigh city, North Carolina",3157,0.12028499580888516
3755000,Hispanic Or Latino,26246,Total Population,"Raleigh city, North Carolina",26246,1
3774440,Hispanic Or Latino,NA,"9th to 12th grade, no diploma","Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Associate's degree,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Bachelor's degree,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,GED or alternative credential,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Graduate or professional degree,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Less than 9th grade,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Regular high school diploma,"Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,"Some college, no degree","Wilmington city, North Carolina",NA,NA
3774440,Hispanic Or Latino,NA,Total Population,"Wilmington city, North Carolina",NA,NA
3775000,Hispanic Or Latino,17492,"9th to 12th grade, no diploma","Winston-Salem city, North Carolina",2076,0.11868282643494169
3775000,Hispanic Or Latino,17492,Associate's degree,"Winston-Salem city, North Carolina",842,0.04813629087582895
3775000,Hispanic Or Latino,17492,Bachelor's degree,"Winston-Salem city, North Carolina",2057,0.11759661559570089
3775000,Hispanic Or Latino,17492,GED or alternative credential,"Winston-Salem city, North Carolina",365,0.020866681911731078
3775000,Hispanic Or Latino,17492,Graduate or professional degree,"Winston-Salem city, North Carolina",134,0.007660644866224559
3775000,Hispanic Or Latino,17492,Less than 9th grade,"Winston-Salem city, North Carolina",5639,0.3223759432883604
3775000,Hispanic Or Latino,17492,Regular high school diploma,"Winston-Salem city, North Carolina",4579,0.2617768122570318
3775000,Hispanic Or Latino,17492,"Some college, no degree","Winston-Salem city, North Carolina",1800,0.10290418477018065
3775000,Hispanic Or Latino,17492,Total Population,"Winston-Salem city, North Carolina",17492,1
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Charlotte city, North Carolina",NA,NA
3712000,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Charlotte city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Durham city, North Carolina",NA,NA
3719000,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Durham city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Greensboro city, North Carolina",NA,NA
3728000,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Greensboro city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","High Point city, North Carolina",NA,NA
3731400,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"High Point city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Raleigh city, North Carolina",NA,NA
3755000,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Raleigh city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Wilmington city, North Carolina",NA,NA
3774440,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Wilmington city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,"9th to 12th grade, no diploma","Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Associate's degree,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Bachelor's degree,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,GED or alternative credential,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Graduate or professional degree,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Less than 9th grade,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Regular high school diploma,"Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,"Some college, no degree","Winston-Salem city, North Carolina",NA,NA
3775000,Native Hawaiian And Other Pacific Islander Alone,NA,Total Population,"Winston-Salem city, North Carolina",NA,NA
3712000,Some Other Race Alone,30860,"9th to 12th grade, no diploma","Charlotte city, North Carolina",3049,0.09880103694102398
3712000,Some Other Race Alone,30860,Associate's degree,"Charlotte city, North Carolina",1239,0.04014906027219702
3712000,Some Other Race Alone,30860,Bachelor's degree,"Charlotte city, North Carolina",3026,0.09805573558003888
3712000,Some Other Race Alone,30860,GED or alternative credential,"Charlotte city, North Carolina",482,0.015618924173687621
3712000,Some Other Race Alone,30860,Graduate or professional degree,"Charlotte city, North Carolina",903,0.029261179520414776
3712000,Some Other Race Alone,30860,Less than 9th grade,"Charlotte city, North Carolina",11298,0.3661049902786779
3712000,Some Other Race Alone,30860,Regular high school diploma,"Charlotte city, North Carolina",7222,0.2340246273493195
3712000,Some Other Race Alone,30860,"Some college, no degree","Charlotte city, North Carolina",3641,0.11798444588464031
3712000,Some Other Race Alone,30860,Total Population,"Charlotte city, North Carolina",30860,1
3719000,Some Other Race Alone,NA,"9th to 12th grade, no diploma","Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Associate's degree,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Bachelor's degree,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,GED or alternative credential,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Graduate or professional degree,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Less than 9th grade,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Regular high school diploma,"Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,"Some college, no degree","Durham city, North Carolina",NA,NA
3719000,Some Other Race Alone,NA,Total Population,"Durham city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,"9th to 12th grade, no diploma","Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Associate's degree,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Bachelor's degree,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,GED or alternative credential,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Graduate or professional degree,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Less than 9th grade,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Regular high school diploma,"Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,"Some college, no degree","Greensboro city, North Carolina",NA,NA
3728000,Some Other Race Alone,NA,Total Population,"Greensboro city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,"9th to 12th grade, no diploma","High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,Associate's degree,"High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,Bachelor's degree,"High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,GED or alternative credential,"High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,Graduate or professional degree,"High Point city, North Carolina",NA,NA
