fiscal_year,year,month,JURISDICTION,trade,inspection_count
2016,2015,Jun,Pleasant Garden,Building,27
2016,2015,Jun,Pleasant Garden,Electrical,7
2016,2015,Jun,Pleasant Garden,Other,2
2016,2015,Jun,Pleasant Garden,Plumbing/Mechanical/Gas,20
2016,2015,Jun,PTIA,Building,9
2016,2015,Jun,PTIA,Electrical,12
2016,2015,Jun,PTIA,Other,2
2016,2015,Jun,PTIA,Plumbing/Mechanical/Gas,6
2016,2015,Jun,Sedalia,Building,4
2016,2015,Jun,Sedalia,Electrical,3
2016,2015,Jun,Sedalia,Plumbing/Mechanical/Gas,4
2016,2015,Jun,Stokesdale,Building,68
2016,2015,Jun,Stokesdale,Electrical,36
2016,2015,Jun,Stokesdale,Other,13
2016,2015,Jun,Stokesdale,Plumbing/Mechanical/Gas,56
2016,2015,Jun,Summerfield,Building,109
2016,2015,Jun,Summerfield,Electrical,93
2016,2015,Jun,Summerfield,Other,32
2016,2015,Jun,Summerfield,Plumbing/Mechanical/Gas,113
2016,2015,Jul,Guilford County,Building,602
2016,2015,Jul,Guilford County,Electrical,460
2016,2015,Jul,Guilford County,Other,345
2016,2015,Jul,Guilford County,Plumbing/Mechanical/Gas,678
2016,2015,Jul,Jamestown,Building,41
2016,2015,Jul,Jamestown,Electrical,43
2016,2015,Jul,Jamestown,Other,3
2016,2015,Jul,Jamestown,Plumbing/Mechanical/Gas,105
2016,2015,Jul,Oak Ridge,Building,119
2016,2015,Jul,Oak Ridge,Electrical,98
2016,2015,Jul,Oak Ridge,Other,12
2016,2015,Jul,Oak Ridge,Plumbing/Mechanical/Gas,150
2016,2015,Jul,Pleasant Garden,Building,19
2016,2015,Jul,Pleasant Garden,Electrical,15
2016,2015,Jul,Pleasant Garden,Other,1
2016,2015,Jul,Pleasant Garden,Plumbing/Mechanical/Gas,9
2016,2015,Jul,PTIA,Building,18
2016,2015,Jul,PTIA,Electrical,9
2016,2015,Jul,PTIA,Other,1
2016,2015,Jul,PTIA,Plumbing/Mechanical/Gas,36
2016,2015,Jul,Sedalia,Building,3
2016,2015,Jul,Sedalia,Other,3
2016,2015,Jul,Stokesdale,Building,54
2016,2015,Jul,Stokesdale,Electrical,30
2016,2015,Jul,Stokesdale,Other,7
2016,2015,Jul,Stokesdale,Plumbing/Mechanical/Gas,49
2016,2015,Jul,Summerfield,Building,122
2016,2015,Jul,Summerfield,Electrical,73
2016,2015,Jul,Summerfield,Other,12
2016,2015,Jul,Summerfield,Plumbing/Mechanical/Gas,90
2016,2015,Jul,Whitsett,Building,1
2016,2015,Jul,Whitsett,Electrical,2
2016,2015,Aug,Guilford County,Building,657
2016,2015,Aug,Guilford County,Electrical,454
2016,2015,Aug,Guilford County,Other,329
2016,2015,Aug,Guilford County,Plumbing/Mechanical/Gas,560
2016,2015,Aug,Jamestown,Building,41
2016,2015,Aug,Jamestown,Electrical,46
2016,2015,Aug,Jamestown,Other,11
2016,2015,Aug,Jamestown,Plumbing/Mechanical/Gas,61
2016,2015,Aug,Oak Ridge,Building,144
2016,2015,Aug,Oak Ridge,Electrical,80
2016,2015,Aug,Oak Ridge,Other,12
2016,2015,Aug,Oak Ridge,Plumbing/Mechanical/Gas,120
2016,2015,Aug,Pleasant Garden,Building,19
2016,2015,Aug,Pleasant Garden,Electrical,16
2016,2015,Aug,Pleasant Garden,Plumbing/Mechanical/Gas,19
2016,2015,Aug,PTIA,Building,5
2016,2015,Aug,PTIA,Electrical,19
2016,2015,Aug,PTIA,Other,2
2016,2015,Aug,PTIA,Plumbing/Mechanical/Gas,19
2016,2015,Aug,Sedalia,Building,2
2016,2015,Aug,Sedalia,Electrical,3
2016,2015,Aug,Sedalia,Other,4
2016,2015,Aug,Sedalia,Plumbing/Mechanical/Gas,3
2016,2015,Aug,Stokesdale,Building,56
2016,2015,Aug,Stokesdale,Electrical,19
2016,2015,Aug,Stokesdale,Other,6
2016,2015,Aug,Stokesdale,Plumbing/Mechanical/Gas,43
2016,2015,Aug,Summerfield,Building,118
2016,2015,Aug,Summerfield,Electrical,85
2016,2015,Aug,Summerfield,Other,18
2016,2015,Aug,Summerfield,Plumbing/Mechanical/Gas,135
2016,2015,Aug,Whitsett,Building,2
2016,2015,Sep,Guilford County,Building,674
2016,2015,Sep,Guilford County,Electrical,463
2016,2015,Sep,Guilford County,Other,276
2016,2015,Sep,Guilford County,Plumbing/Mechanical/Gas,617
2016,2015,Sep,Jamestown,Building,39
2016,2015,Sep,Jamestown,Electrical,32
2016,2015,Sep,Jamestown,Other,9
2016,2015,Sep,Jamestown,Plumbing/Mechanical/Gas,69
2016,2015,Sep,Oak Ridge,Building,157
2016,2015,Sep,Oak Ridge,Electrical,69
2016,2015,Sep,Oak Ridge,Other,4
2016,2015,Sep,Oak Ridge,Plumbing/Mechanical/Gas,134
2016,2015,Sep,Pleasant Garden,Building,15
2016,2015,Sep,Pleasant Garden,Electrical,15
2016,2015,Sep,Pleasant Garden,Plumbing/Mechanical/Gas,10
2016,2015,Sep,PTIA,Building,16
2016,2015,Sep,PTIA,Electrical,10
2016,2015,Sep,PTIA,Other,2
2016,2015,Sep,PTIA,Plumbing/Mechanical/Gas,22
2016,2015,Sep,Sedalia,Building,8
2016,2015,Sep,Sedalia,Electrical,4
2016,2015,Sep,Sedalia,Other,1
2016,2015,Sep,Sedalia,Plumbing/Mechanical/Gas,10
2016,2015,Sep,Stokesdale,Building,26
2016,2015,Sep,Stokesdale,Electrical,21
2016,2015,Sep,Stokesdale,Other,9
2016,2015,Sep,Stokesdale,Plumbing/Mechanical/Gas,43
2016,2015,Sep,Summerfield,Building,130
2016,2015,Sep,Summerfield,Electrical,69
2016,2015,Sep,Summerfield,Other,11
2016,2015,Sep,Summerfield,Plumbing/Mechanical/Gas,134
2016,2015,Sep,Whitsett,Building,2
2016,2015,Sep,Whitsett,Plumbing/Mechanical/Gas,1
2016,2015,Oct,Guilford County,Building,690
2016,2015,Oct,Guilford County,Electrical,516
2016,2015,Oct,Guilford County,Other,418
2016,2015,Oct,Guilford County,Plumbing/Mechanical/Gas,602
2016,2015,Oct,Jamestown,Building,42
2016,2015,Oct,Jamestown,Electrical,28
2016,2015,Oct,Jamestown,Other,9
2016,2015,Oct,Jamestown,Plumbing/Mechanical/Gas,54
2016,2015,Oct,Oak Ridge,Building,115
2016,2015,Oct,Oak Ridge,Electrical,76
2016,2015,Oct,Oak Ridge,Other,8
2016,2015,Oct,Oak Ridge,Plumbing/Mechanical/Gas,112
2016,2015,Oct,Pleasant Garden,Building,22
2016,2015,Oct,Pleasant Garden,Electrical,19
2016,2015,Oct,Pleasant Garden,Other,3
2016,2015,Oct,Pleasant Garden,Plumbing/Mechanical/Gas,18
2016,2015,Oct,PTIA,Building,9
2016,2015,Oct,PTIA,Electrical,4
2016,2015,Oct,PTIA,Other,3
2016,2015,Oct,PTIA,Plumbing/Mechanical/Gas,5
2016,2015,Oct,Sedalia,Building,1
2016,2015,Oct,Sedalia,Other,6
2016,2015,Oct,Stokesdale,Building,39
2016,2015,Oct,Stokesdale,Electrical,33
2016,2015,Oct,Stokesdale,Other,10
2016,2015,Oct,Stokesdale,Plumbing/Mechanical/Gas,56
2016,2015,Oct,Summerfield,Building,115
